 3.90 c0.91 · 8% of decks | Executioner's Capsule {B} | Artifact | {1}{B}, {T}, Sacrifice this artifact: Destroy target nonblack creature.
 2.62 c0.56 GEM · not on EDHREC page | Polluted Cistern // Dim Oubliette {1}{B} // {4}{B} | Enchantment — Room // Enchantment — Room | [Polluted Cistern] {1}{B} — Encha…
 2.62 c0.68 GEM · not on EDHREC page | Bane's Contingency {1}{U}{U} | Instant | Counter target spell. If that spell targets a commander you control, instead counter tha…
 2.62 c0.57 GEM · not on EDHREC page | Back for Seconds {2}{B} | Sorcery | Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.) Return…
 2.62 c0.58 GEM · not on EDHREC page | Strategic Planning {1}{U} | Sorcery | Look at the top three cards of your library. Put one of them into your hand and the rest in…
 2.62 c0.60 GEM · not on EDHREC page | Golden Egg {2} | Artifact — Food | When this artifact enters, draw a card. {1}, {T}, Sacrifice this artifact: Add one mana of any…
 2.62 c0.62 GEM · not on EDHREC page | Spellgyre {2}{U}{U} | Instant | Choose one — • Counter target spell. • Surveil 2, then draw two cards. (To surveil 2, look at the…
 2.62 c0.61 GEM · not on EDHREC page | Commune with Evil {2}{B} | Sorcery | Look at the top four cards of your library. Put one of them into your hand and the rest into…
 2.62 c0.57 GEM · not on EDHREC page | Scattered Thoughts {3}{U} | Instant | Look at the top four cards of your library. Put two of those cards into your hand and the r…
 2.62 c0.60 GEM · not on EDHREC page | Briarbridge Tracker {2}{G} | Creature — Human Scout 2/3 | Vigilance (Attacking doesn't cause this creature to tap.) When this cre…
 2.62 c0.60 GEM · not on EDHREC page | Explosive Apparatus {1} | Artifact | {3}, {T}, Sacrifice this artifact: It deals 2 damage to any target.
 2.62 c0.62 GEM · not on EDHREC page | Watcher in the Mist {3}{U}{U} | Creature — Spirit 3/4 | Flying When this creature enters, surveil 2. (Look at the top two cards o…
 2.62 c0.49 GEM · not on EDHREC page | Parallax Dementia {1}{B} | Enchantment — Aura | Enchant creature Fading 1 (This enchantment enters with one fade counter on it. A…
 2.62 c0.60 GEM · not on EDHREC page | Gremlin Mine {1} | Artifact | {1}, {T}, Sacrifice this artifact: It deals 4 damage to target artifact creature. {1}, {T}, Sacrifi…
 2.61 c0.39 · 42% of decks | Animate Dead {1}{B} | Enchantment — Aura | Enchant creature card in a graveyard When this Aura enters, if it's on the battlefield…
 2.61 c0.59 GEM · not on EDHREC page | Grim Haruspex {2}{B} | Creature — Human Wizard 3/2 | Morph {B} (You may cast this card face down as a 2/2 creature for {3}. Turn …
 2.61 c0.52 GEM · not on EDHREC page | Obsessive Pursuit {1}{B} | Enchantment | When this enchantment enters and at the beginning of your upkeep, you lose 1 life and cr…
 2.61 c0.28 GEM · not on EDHREC page | The Enigma Jewel // Locus of Enlightenment {U} | Legendary Artifact // Legendary Artifact | [The Enigma Jewel] {U} — Legendary Ar…
 2.61 c0.55 GEM · not on EDHREC page | Epicure of Blood {4}{B} | Creature — Vampire 4/4 | Whenever you gain life, each opponent loses 1 life.
 2.61 c0.54 GEM · not on EDHREC page | Chronomancer {1}{B} | Artifact Creature — Necron Wizard 1/1 | Flying Atomic Transmutation — {1}, {T}, Sacrifice another artifact:…
 2.61 c0.48 GEM · not on EDHREC page | Osseous Sticktwister {1}{B} | Artifact Creature — Scarecrow 2/2 | Lifelink Delirium — At the beginning of your end step, if there…
 2.61 c0.57 GEM · not on EDHREC page | Hard Evidence {U} | Sorcery | Create a 0/3 blue Crab creature token. Investigate. (Create a Clue token. It's an artifact with "{2…
 2.61 c0.49 GEM · not on EDHREC page | Voracious Varmint {1}{G} | Creature — Varmint 2/2 | Vigilance {1}, Sacrifice this creature: Destroy target artifact or enchantmen…
 2.61 c0.60 GEM · not on EDHREC page | Sorcerer's Strongbox {4} | Artifact | {2}, {T}: Flip a coin. If you win the flip, sacrifice this artifact and draw three cards.
 2.61 c0.64 GEM · not on EDHREC page | Blightcaster {3}{B} | Creature — Human Wizard 2/3 | Whenever you cast an enchantment spell, you may have target creature get -2/-…
 2.61 c0.58 GEM · not on EDHREC page | Sterling Hound {3} | Artifact Creature — Dog 3/2 | When this creature enters, surveil 2. (Look at the top two cards of your libra…
 2.61 c0.60 GEM · not on EDHREC page | Cruel Witness {2}{U}{U} | Creature — Bird Horror 3/3 | Flying Whenever you cast a noncreature spell, surveil 1. (Look at the top …
 2.61 c0.57 GEM · not on EDHREC page | Grisly Ritual {5}{B} | Sorcery | Destroy target creature or planeswalker. Create two Blood tokens. (They're artifacts with "{1}, …
 2.61 c0.60 GEM · not on EDHREC page | Foul Play {1}{B} | Sorcery | Destroy target creature with power 2 or less. Investigate. (Create a Clue token. It's an artifact wi…
 2.61 c0.58 GEM · not on EDHREC page | Preferred Selection {2}{G}{G} | Enchantment | At the beginning of your upkeep, look at the top two cards of your library. You may…
 2.60 c0.52 · 11% of decks | Binding the Old Gods {2}{B}{G} | Enchantment — Saga | (As this Saga enters and after your draw step, add a lore counter. Sacrific…
 2.60 c0.57 GEM · not on EDHREC page | Doom Whisperer {3}{B}{B} | Creature — Nightmare Demon 6/6 | Flying, trample Pay 2 life: Surveil 2. (Look at the top two cards of …
 2.60 c0.57 GEM · not on EDHREC page | Deduce {1}{U} | Instant | Draw a card. Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw …
 2.60 c0.56 GEM · not on EDHREC page | Lady Octopus, Inspired Inventor {U} | Legendary Creature — Human Scientist Villain 0/2 | Whenever you draw your first or second c…
 2.60 c0.51 GEM · not on EDHREC page | Defiled Crypt // Cadaver Lab {3}{B} // {B} | Enchantment — Room // Enchantment — Room | [Defiled Crypt] {3}{B} — Enchantment — Ro…
 2.60 c0.62 GEM · not on EDHREC page | Discovery // Dispersal {1}{U/B} // {3}{U}{B} | Sorcery // Instant | [Discovery] {1}{U/B} — Sorcery Surveil 2, then draw a card. (…
 2.60 c0.60 GEM · not on EDHREC page | Willow Geist {G} | Creature — Treefolk Spirit 1/1 | Trample Whenever one or more cards leave your graveyard, put a +1/+1 counter …
 2.60 c0.61 GEM · not on EDHREC page | Pirate Peddlers {2}{B} | Creature — Human Pirate 2/2 | Deathtouch Whenever you sacrifice another permanent, put a +1/+1 counter o…
 2.60 c0.56 GEM · not on EDHREC page | Phenomenon Investigators {2}{U}{B} | Creature — Human Detective 3/4 | As this creature enters, choose Believe or Doubt. • Believe…
 2.60 c0.51 GEM · not on EDHREC page | Lunar Force {2}{U} | Enchantment | When an opponent casts a spell, sacrifice this enchantment and counter that spell.
 2.60 c0.59 GEM · not on EDHREC page | Pendulum of Patterns {2} | Artifact | When this artifact enters, you gain 3 life. {5}, {T}, Sacrifice this artifact: Draw a card.
 2.60 c0.58 GEM · not on EDHREC page | Count Nefaria {6}{B} | Legendary Creature — Human Villain 6/6 | This spell costs {3} less to cast if you've sacrificed a permanen…
 2.60 c0.61 GEM · not on EDHREC page | Balm of Restoration {2} | Artifact | {1}, {T}, Sacrifice this artifact: Choose one — • You gain 2 life. • Prevent the next 2 dama…
 2.59 c0.52 · 42% of decks | Haywire Mite {1} | Artifact Creature — Insect 1/1 | When this creature dies, you gain 2 life. {G}, Sacrifice this creature: Exile…
 2.59 c0.57 · not on EDHREC page | Greedy Freebooter {B} | Creature — Human Pirate 1/1 | When this creature dies, scry 1 and create a Treasure token. (To scry 1, lo…
 2.59 c0.54 · 27% of decks | Underrealm Lich {3}{B}{G} | Creature — Zombie Elf Shaman 4/3 | If you would draw a card, instead look at the top three cards of y…
 2.59 c0.57 · not on EDHREC page | Deadly Derision {2}{B}{B} | Instant | Destroy target creature or planeswalker. Create a Treasure token. (It's an artifact with "{…
 2.59 c0.54 · not on EDHREC page | Lightless Evangel {1}{B} | Creature — Vampire Cleric 2/2 | Whenever you sacrifice another creature or artifact, put a +1/+1 count…
 2.59 c0.54 · not on EDHREC page | Credit Voucher {2} | Artifact | {2}, {T}, Sacrifice this artifact: Shuffle any number of cards from your hand into your library, …
 2.59 c0.58 · not on EDHREC page | Pothole Mole {2}{G} | Creature — Mole 2/3 | When this creature enters, mill three cards, then you may return a land card from you…
 2.59 c0.53 · not on EDHREC page | Wailing Ghoul {1}{B} | Creature — Zombie 1/3 | When this creature enters, mill two cards. (Put the top two cards of your library …
 2.59 c0.56 · not on EDHREC page | Ancestral Memories {2}{U}{U}{U} | Sorcery | Look at the top seven cards of your library. Put two of them into your hand and the r…
 2.58 c0.58 · not on EDHREC page | Search for Azcanta // Azcanta, the Sunken Ruin {1}{U} | Legendary Enchantment // Legendary Land | [Search for Azcanta] {1}{U} — L…
 2.58 c0.58 · not on EDHREC page | Bumbleflower's Sharepot {2} | Artifact | When this artifact enters, create a Food token. (It's an artifact with "{2}, {T}, Sacrif…
